,0,1,2,3,4
0,66650,66672,66671,66670,66669
1,78242,16770,74414,39274,17584
59081,2,92360,2780,1513,16979
3,54572,26200,43809,18777,43853
4,37397,78915,6059,16205,35764
5,13665,35278,87829,48100,12506
6,95942,82549,47792,48807,51626
7,84256,51338,49499,14373,12430
8,77153,81728,64100,22250,63654
9,64353,99373,82129,43929,99160
10,23939,34965,57378,37465,83790
11,3994,90097,12158,18571,47391
12,47203,74090,91479,17892,23545
13,80772,94226,84186,92203,42414
14,77074,78790,86508,10563,71141
15,1417,50359,34041,75686,89765
16,68992,54955,25013,8117,99442
17,69129,97474,58627,75212,21770
18,41168,80221,18026,49451,60936
19,84823,573,26621,67812,74678
20,42354,22849,80440,72981,61330
21,28094,21262,22906,94879,57661
22,28327,15892,43593,14307,89653
23,59767,88306,31984,56762,12503
24,20680,79531,28236,54927,56562
25,77557,26134,18585,50002,63055
26,82925,12928,90287,21640,34920
27,76676,40714,68981,65169,39766
28,66365,22915,46809,82138,5047
29,88510,50888,60080,17620,27828
30,34326,48828,78275,92257,70464
31,65812,32,59275,37142,21902
32,99275,62254,22998,198,933
33,47938,73620,88018,20698,21902
34,71025,40401,17040,83045,8365
35,24786,90596,73647,35490,1324
36,72072,5479,8278,70137,53439
37,27295,67621,26597,54228,38472
38,40117,78241,19691,62402,92676
39,23116,15049,38157,61829,7989
40,8480,67659,63758,80009,94015
41,19722,35391,98314,89724,60749
42,70506,38726,59064,78923,6620
43,77668,77355,30438,80680,21570
44,69169,42189,66848,74692,9050
45,51188,3983,95602,91873,35881
46,97940,14616,25099,15278,52951
47,12102,22565,98289,22610,72682
48,8199,77903,48581,45463,12007
49,95090,10401,14709,57015,3903
50,75357,76117,41015,19002,56501
51,77049,94939,56499,62883,46333
52,15229,92647,62123,48692,72499
53,63471,11326,24660,63275,94559
54,5497,49192,29625,94107,57647
55,24236,87582,8550,75538,42104
56,49273,1857,42405,91804,1686
57,66715,26796,13477,72507,43971
58,97204,56961,31849,19574,80277
59,41747,32906,58644,54403,4365
60,59187,97569,83370,88720,783
61,25822,54860,13787,32898,75217
62,46574,58906,11928,53363,40405
63,52380,37080,44037,22466,50213
64,47447,16198,83364,69929,43764
65,31349,46089,72807,19850,70815
66,73018,21332,35442,57404,16983
67,10493,59318,25761,69625,57888
68,22947,72046,26944,19277,59855
69,41749,32232,90753,92777,99882
70,13543,26794,84380,16437,97726
71,59276,23843,40816,96932,39727
72,99145,55357,25475,6799,8139
73,19933,14245,61692,77340,20333
74,79502,6563,17323,64832,36546
75,6726,19741,774,58774,82775
76,57459,85317,10674,64740,22514
77,82952,34996,60645,78282,3338
78,80680,92670,37020,29827,93878
79,10045,76934,1074,47438,83027
80,60104,7583,32592,41425,16052
81,5145,77911,502,82011,85565
82,75341,51098,4803,58919,42392
83,37568,70408,80165,53472,11592
84,70942,88153,5934,68419,83174
85,68872,7859,53034,63776,23991
86,9475,79432,54022,29488,86368
87,35338,90355,7828,32899,22092
88,56803,97628,4511,82819,22544
89,5418,5771,1740,25007,13157
90,72198,38798,3490,35203,59301
91,76624,90014,1955,54572,67349
92,90872,58705,54457,9100,24191
93,27657,9370,78526,75742,89645
94,50696,56836,18430,49681,24251
95,36320,64369,84002,92589,43451
96,6289,11826,95538,1905,48853
97,25922,75639,51435,581,19532
98,82818,42703,93755,64228,98251
99,17217,16848,45429,73250,28306
100,55160,39012,16202,73973,36454
101,28624,23649,36498,23404,8631
102,13418,26271,98278,47736,96687
103,1284,33231,47694,25176,55458
104,64275,12069,68165,11281,80395
105,79290,28180,31918,20157,8973
106,54654,16130,72775,36237,41281
107,76109,94806,13771,30330,33830
108,95345,15296,17560,97759,15517
109,24576,51813,80952,41527,46136
110,86252,12502,823,91979,15039
111,85082,14434,72838,3463,53890
112,15731,81624,42839,47790,62915
113,26667,5458,25090,23281,36305
114,13191,51665,95670,78716,99267
115,20880,79611,641,93318,30982
116,27157,74817,35246,69565,10622
117,99152,56550,67720,33564,30792
118,5142,158,1836,84470,63795
